,Remaining NaNs,Unique Values,Data Type
ASIRETR,0,4,int64
ASIMEDC,0,4,int64
ASISTLV,0,7,int64
ASICNHC,0,7,int64
ASICCOLL,0,8,int64
ASINBILL,0,4,int64
ASIHCST,0,7,int64
ASICCMP,0,8,int64
ASISLEEP,0,20,int64
ASISLPFL,0,11,int64
ASISLPST,0,11,int64
ASISLPMD,0,11,int64
ASIREST,0,11,int64
ASISAD,0,5,int64
ASINERV,0,5,int64
ASIRSTLS,0,5,int64
ASIHOPLS,0,5,int64
ASIEFFRT,0,5,int64
ASIWTHLS,0,5,int64
ASIMUCH,0,4,int64
ASIHIVT,0,2,int64
ASIHIVWN,0,12,int64
AWEBUSE,0,2,int64
AWEBOFNO,0,55,int64
AWEBOFTP,0,6,int64
AWEBEML,0,2,int64
AWEBMNO,0,37,int64
AWEBMTP,0,6,int64
PAPHAD1,0,2,int64
RPAP1_M1,0,15,int64
RPAP1N1,0,60,int64
RPAP1T1,0,6,int64
RPAP21,0,8,int64
HPVPAP,0,2,int64
PAPABN3,0,7,int64
PAPNOT2,0,14,int64
HYST,0,2,int64
MAMHAD,0,2,int64
RMAM1_MT,0,16,int64
RMAM1N,0,41,int64
RMAM1T,0,6,int64
RMAM2,0,8,int64
MAMPAY,0,6,int64
MAMREAS,0,6,int64
MAMABN1,0,2,int64
MFOLLOW0,0,3,int64
MFOLLO01,0,3,int64
MFOLLO02,0,3,int64
MFOLLO03,0,3,int64
MFOLLO04,0,3,int64
MFOLLO05,0,3,int64
MAMNOT1,0,13,int64
PSAHAD,0,2,int64
RPSA1_MT,0,15,int64
RPSA1N,0,28,int64
RPSA1T,0,4,int64
RPSA2,0,7,int64
PSAREAS,0,5,int64
PSASUGG,0,5,int64
PSAADV,0,2,int64
PSADISAV,0,2,int64
COLHAD,0,2,int64
COL_MT,0,15,int64
COLN,0,45,int64
COLT,0,6,int64
COL2,0,8,int64
COLREAS,0,7,int64
COLPAY,0,6,int64
SIGHAD,0,2,int64
SIG_MT,0,15,int64
SIGN,0,46,int64
SIGT,0,4,int64
SIG2,0,7,int64
CTHEARD,0,2,int64
CTHADEV,0,2,int64
CT_MT,0,15,int64
CTN,0,19,int64
CTT,0,2,int64
CT2,0,7,int64
COLTOLD,0,2,int64
HFOBHAD1,0,2,int64
RHFO2_MT,0,15,int64
RHFO2N,0,35,int64
RHFO2T,0,5,int64
RHFO2,0,7,int64
COLGDHAD,0,2,int64
COLGDPRT,0,3,int64
COLGD_MT,0,14,int64
COLGDN,0,14,int64
COLGDT,0,2,int64
COLGD2,0,8,int64
COLPROB2,0,4,int64
COLKIN01,0,4,int64
COLKIN02,0,4,int64
COLKIN03,0,4,int64
COLKIN04,0,4,int64
COLKIN05,0,4,int64
COLKIN06,0,4,int64
RMAM3A,0,8,int64
RMAM3B,0,8,int64
RPAP3A1,0,8,int64
RPAP3B1,0,8,int64
RPSA3A,0,7,int64
RPSA3B,0,7,int64
COL3A,0,9,int64
COL3B,0,9,int64
CT3A,0,8,int64
CT3B,0,8,int64
RHFOB3A,0,8,int64
RHFOB3B,0,8,int64
SIG3A,0,8,int64
SIG3B,0,8,int64
RCGD3A,0,8,int64
RPAP1Y1,0,55,int64
RMAM1YR,0,35,int64
RPSA1YR,0,29,int64
COLYR,0,39,int64
SIGYR,0,51,int64
CTYR,0,22,int64
RHFO2YR,0,39,int64
COLGDYR,0,19,int64
PSA_5YR,0,18,int64
VIS_0,0,2,int64
VIS_SS2,0,7,int64
HEAR_1R,0,2,int64
HEAR_2R,0,5,int64
HEAR_SS2,0,7,int64
HEAR_3,0,7,int64
HEAR_4,0,7,int64
MOB_SS2,0,7,int64
MOB_2R,0,2,int64
MOB_3A,0,3,int64
MOB_3B2,0,3,int64
MOB_3C,0,3,int64
MOB_3D2,0,4,int64
MOB_3E2,0,4,int64
MOB_3F,0,3,int64
MOB_3G,0,4,int64
MOB_4,0,7,int64
MOB_5,0,7,int64
MOB_6,0,7,int64
MOB_7,0,6,int64
MOB_8,0,6,int64
COM_SS,0,7,int64
COM_2,0,2,int64
COG_SS,0,7,int64
COG_1,0,6,int64
COG_2,0,5,int64
COG_3,0,6,int64
UB_SS,0,7,int64
UB_1,0,7,int64
UB_2,0,7,int64
ANX_1,0,5,int64
ANX_2,0,2,int64
DEP_1,0,5,int64
DEP_2,0,2,int64
PAIN_4,0,3,int64
